id,title,category,brand,price,discountPercentage,rating,stock,sku,weight,warrantyInformation,availabilityStatus,flag_suspicious
66,Product 66,beauty,unknown,593.75,10.98,0.88,276,SKU-1066,3.37,not specified,low stock,False
11,Product 11,fragrances,unknown,427.54,20.15,3.65,159,SKU-1011,9.08,1 month warranty,in stock,False
1,Product 1,laptops,huawei,283.38,0.89,3.7,302,SKU-1001,0.63,1 month warranty,out of stock,False
38,Product 38,fragrances,unknown,439.84,21.55,3.83,310,SKU-1038,6.29,1 week warranty,low stock,False
97,Product 97,laptops,microsoft surface,901.39,13.53,4.16,466,SKU-1097,9.61,1 week warranty,low stock,False
6,Product 6,laptops,unknown,1753.35,4.29,3.28,468,SKU-1006,10.83,not specified,out of stock,False
37,Product 37,laptops,calvin klein,108.91,22.63,1.12,490,SKU-1037,0.51,1 month warranty,in stock,False
63,Product 63,groceries,oppo,152.35,7.5,4.94,492,SKU-1063,7.76,not specified,in stock,False
85,Product 85,home-decoration,unknown,922.89,17.67,1.81,54,SKU-1085,6.27,No warranty,in stock,False
79,Product 79,womens-dresses,impression of acqua di gio,452.37,6.78,4.23,390,SKU-1079,15.37,1 week warranty,out of stock,False
69,Product 69,skincare,impression of acqua di gio,607.87,3.48,0.7,155,SKU-1069,7.83,No warranty,out of stock,False
24,Product 24,fragrances,unknown,82.26,23.86,1.0,179,SKU-1024,9.61,1 month warranty,low stock,False
56,Product 56,groceries,microsoft surface,833.9,27.66,2.36,74,SKU-1056,17.29,No warranty,low stock,False
29,Product 29,fragrances,unknown,1267.72,24.2,4.09,344,SKU-1029,9.61,not specified,out of stock,False
108,Product 108,fragrances,unknown,560.99,16.85,0.13,265,SKU-1108,8.98,No warranty,out of stock,False
46,Product 46,womens-dresses,oppo,1277.55,5.53,6.46,245,SKU-1046,9.61,1 week warranty,low stock,True
9,Product 9,fragrances,samsung,600.4,28.6,3.04,390,SKU-1009,12.02,not specified,in stock,False
96,Product 96,groceries,calvin klein,1057.28,1.57,4.08,70,SKU-1096,18.69,1 week warranty,low stock,False
26,Product 26,laptops,dell,1458.45,5.7,3.03,197,SKU-1026,10.45,1 month warranty,low stock,False
82,Product 82,tops,impression of acqua di gio,1216.12,8.5,1.08,176,SKU-1082,13.38,1 week warranty,in stock,False
70,Product 70,womens-dresses,oppo,1771.4,0.98,4.17,480,SKU-1070,19.02,No warranty,in stock,False
2,Product 2,womens-dresses,impression of acqua di gio,1180.59,8.34,0.03,357,SKU-1002,2.13,not specified,in stock,False
10,Product 10,laptops,microsoft surface,482.71,2.08,2.84,374,SKU-1010,2.65,not specified,out of stock,False
