id,title,category,brand,price,discountPercentage,rating,stock,sku,weight,warrantyInformation,availabilityStatus
66,Product 66,beauty,,593.75,10.98,0.88,276,SKU-1066,3.37,,Low Stock
11,Product 11,fragrances,,427.54,20.15,3.65,159,SKU-1011,9.08,1 month warranty,In Stock
1,Product 1,LAPTOPS,Huawei,283.38,0.89,3.7,302,SKU-1001,0.63,1 month warranty,Out of Stock
38,Product 38,fragrances,,439.84,21.55,3.83,310,SKU-1038,6.29,1 week warranty,Low Stock
97,Product 97,laptops,Microsoft Surface,901.39,13.53,4.16,466,SKU-1097,,1 week warranty,Low Stock
6,Product 6,laptops,,1753.35,4.29,3.28,468,SKU-1006,10.83,,Out of Stock
37,Product 37,laptops,Calvin Klein,108.91,22.63,1.12,490,SKU-1037,0.51,1 month warranty,In Stock
63,Product 63,groceries,OPPO,152.35,7.5,4.94,492,SKU-1063,7.76,,In Stock
85,Product 85,home-decoration,,922.89,17.67,1.81,54,SKU-1085,6.27,No warranty,In Stock
79,Product 79,womens-dresses,Impression of Acqua Di Gio,452.37,6.78,4.23,390,SKU-1079,15.37,1 week warranty,Out of Stock
69,Product 69,skincare,Impression of Acqua Di Gio,607.87,3.48,0.7,155,SKU-1069,7.83,No warranty,Out of Stock
24,Product 24,fragrances,,82.26,23.86,1.0,179,SKU-1024,,1 month warranty,Low Stock
56,Product 56,groceries,Microsoft Surface,833.9,27.66,2.36,74,SKU-1056,17.29,No warranty,Low Stock
29,Product 29,fragrances,,1267.72,24.2,4.09,344,SKU-1029,,,Out of Stock
108,Product 108,fragrances,,560.99,16.85,0.13,265,SKU-1108,8.98,No warranty,Out of Stock
46,Product 46,womens-dresses,OPPO,1277.55,5.53,6.46,245,SKU-1046,9.61,1 week warranty,Low Stock
9,Product 9,fragrances,Samsung,600.4,28.6,3.04,390,SKU-1009,12.02,,In Stock
96,Product 96,groceries,Calvin Klein,1057.28,1.57,4.08,70,SKU-1096,18.69,1 week warranty,Low Stock
26,Product 26,laptops,Dell,1458.45,5.7,3.03,197,SKU-1026,10.45,1 month warranty,Low Stock
82,Product 82,tops,Impression of Acqua Di Gio,1216.12,8.5,1.08,176,SKU-1082,13.38,1 week warranty,In Stock
70,Product 70,womens-dresses,OPPO,1771.4,0.98,4.17,480,SKU-1070,19.02,No warranty,In Stock
2,Product 2,womens-dresses,Impression of Acqua Di Gio,1180.59,8.34,0.03,357,SKU-1002,2.13,,In Stock
10,Product 10,laptops,Microsoft Surface,482.71,2.08,2.84,374,SKU-1010,2.65,,Out of Stock
86,Product 86,home-decoration,Samsung,1023.41,28.75,2.55,178,SKU-1086,2.15,No warranty,In Stock
83,Product 83,furniture,Apple,20.34,3.6,1.06,130,SKU-1083,2.67,1 month warranty,Out of Stock
12,Product 12,laptops,,1110.07,27.16,0.04,30,SKU-1012,4.84,,In Stock
28,Product 28,furniture,OPPO,1232.95,18.2,6.48,220,SKU-1028,13.54,,Out of Stock
55,Product 55,Tops,,1599.63,27.39,7.06,115,SKU-1055,16.66,,Out of Stock
44,Product 44,womens-dresses,Calvin Klein,664.93,9.47,1.35,61,SKU-1044,13.83,1 month warranty,In Stock
60,Product 60,beauty,Samsung,1705.42,14.64,1.9,367,SKU-1060,4.77,No warranty,In Stock
33,Product 33,home-decoration,Samsung,281.06,9.93,3.47,32,SKU-1033,16.67,,Out of Stock
72,Product 72,fragrances,,1531.49,23.66,1.08,168,SKU-1072,19.68,1 month warranty,Out of Stock
66,Product 66,beauty,,593.75,10.98,0.88,276,SKU-1066,3.37,,Low Stock
51,Product 51,furniture,Calvin Klein,1082.26,7.51,2.99,376,SKU-1051,16.74,1 week warranty,Out of Stock
58,Product 58,home-decoration,Huawei,1145.74,27.4,3.88,381,SKU-1058,15.87,1 month warranty,Low Stock
119,Product 119,groceries,,1362.4,16.73,4.88,406,SKU-1119,12.09,,Out of Stock
21,Product 21,SMARTPHONES,Microsoft Surface,92.95,16.55,0.65,82,SKU-1021,,1 week warranty,Out of Stock
117,Product 117,fragrances,,1758.76,6.45,0.45,234,SKU-1117,9.95,,Low Stock
